System failure,600.10113
System restart,615.977333
Recovery,615.990475,4330.14752
Benchmark,615.990504,5272.180255
System failure,5272.180255
0,30310
1,27030
2,26150
3,24963
4,23906
5,22040
6,22080
7,22157
8,22286
9,21729
10,22249
11,22176
12,21601
13,21829
14,22218
15,22152
16,21626
17,21060
18,22229
19,22111
20,21959
21,22294
22,22073
23,21751
24,21663
25,22243
26,18688
27,22082
28,21961
29,22222
30,22174
31,22430
32,22441
33,20693
34,22385
35,21865
36,22040
37,21733
38,21868
39,22361
40,22516
41,22106
42,22302
43,22277
44,22048
45,22089
46,21537
47,22443
48,21923
49,22119
50,22196
51,21821
52,22209
53,22033
54,22291
55,22366
56,22071
57,21960
58,21989
59,22192
60,21669
61,21967
62,21637
63,22367
64,22351
65,19929
66,22361
67,21957
68,21832
69,22277
70,21704
71,22122
72,22040
73,21902
74,21963
75,22237
76,21899
77,21726
78,22111
79,22302
80,22010
81,22191
82,22081
83,21806
84,21984
85,21849
86,21963
87,22168
88,22097
89,22072
90,22143
91,22040
92,21891
93,21794
94,22087
95,21618
96,22137
97,22127
98,21600
99,21986
100,21575
101,22475
102,21815
103,22383
104,22078
105,22177
106,21741
107,22096
108,22236
109,21858
110,21971
111,21824
112,21888
113,21987
114,22469
115,21764
116,22504
117,22110
118,22436
119,22035
120,22232
121,22202
122,21941
123,21889
124,22451
125,21663
126,21983
127,22267
128,21589
129,19006
130,22369
131,22231
132,21793
133,22582
134,21741
135,22202
136,22129
137,21792
138,22126
139,21803
140,22450
141,22853
142,21870
143,22495
144,21684
145,18966
146,22042
147,22175
148,22499
149,22008
150,21882
151,22218
152,22248
153,22482
154,22123
155,22013
156,22028
157,22217
158,21930
159,21657
160,21625
161,22143
162,22040
163,22008
164,21728
165,22458
166,21841
167,22073
168,21749
169,21782
170,22032
171,22553
172,22151
173,22177
174,21957
175,21804
176,22109
177,22075
178,21665
179,22183
180,22309
181,21858
182,22129
183,22441
184,21600
185,22270
186,22437
187,21722
188,21932
189,22284
190,21956
191,22234
192,21692
193,22254
194,22178
195,22232
196,21777
197,22543
198,22232
199,22184
200,22422
201,21606
202,22033
203,22450
204,21721
205,22308
206,21944
207,21778
208,22247
209,21902
210,22033
211,21821
212,21816
213,22502
214,21883
215,21612
216,21694
217,21285
218,22397
219,21706
220,21738
221,22588
222,21679
223,22297
224,22199
225,21498
226,22279
227,21889
228,21836
229,22169
230,21766
231,22226
232,22366
233,21937
234,21894
235,22085
236,21760
237,22126
238,21672
239,22117
240,22008
241,22379
242,21616
243,22271
244,22021
245,22074
246,22166
247,21984
248,22151
249,22108
250,21806
251,22118
252,22179
253,21686
254,22074
255,22230
256,21859
257,16816
258,22101
259,22218
260,21662
261,21725
262,21980
263,17820
264,21463
265,21873
266,22115
267,21699
268,21681
269,22050
270,21963
271,21463
272,21681
273,21596
274,21784
275,21795
276,21681
277,22085
278,22207
279,22071
280,22127
281,22519
282,20313
283,22153
284,22231
285,22191
286,22368
287,21970
288,22156
289,22314
290,22272
291,22346
292,22304
293,22070
294,22068
295,22284
296,22263
297,21999
298,21546
299,22406
300,22036
301,22013
302,22281
303,21979
304,22091
305,22094
306,22201
307,21977
308,22399
309,22341
310,22419
311,22203
312,22431
313,22168
314,21950
315,22261
316,22546
317,21824
318,21955
319,22329
320,22510
321,22153
322,22579
323,22087
324,21744
325,21753
326,21942
327,22040
328,21797
329,21928
330,22425
331,22143
332,22306
333,22095
334,21646
335,22106
336,22276
337,22277
338,21613
339,22290
340,22375
341,21578
342,22163
